Date;Pays;Infections;Deces;Guerisons;TauxDeces;TauxGuerison;TauxInfection;ID;Latitudes;Longitudes
01/04/2020;Belize;3;0;0;0.0;0.0;100.0;Belize;16.8259793;-88.7600927
01/04/2020;Canada;8591;102;1592;1.19;18.53;80.28;Canada;61.0666922;-107.9917071
01/04/2020;Rép. Dém. du Congo;109;9;3;8.26;2.75;88.99;;-1.4716837406158447;23.213382720947266
01/04/2020;République Centrafricaine;3;0;0;0.0;0.0;100.0;Ködörösêse tî Bêafrîka - République Centrafricaine;7.0323598;19.9981227
01/04/2020;Congo (Brazzaville);19;0;0;0.0;0.0;100.0;Congo;-0.7264327;15.6419155
01/04/2020;Suisse;17137;461;2967;2.69;17.31;80.0;Schweiz/Suisse/Svizzera/Svizra;46.7985624;8.2319736
01/04/2020;Côte d'Ivoire;179;1;7;0.56;3.91;95.53;Côte d’Ivoire;7.9897371;-5.5679458
01/04/2020;Chili;2738;12;156;0.44;5.7;93.86;Chile;-31.7613365;-71.3187697
01/04/2020;Cameroun;233;6;10;2.58;4.29;93.13;Cameroun;4.6125522;13.1535811
01/04/2020;Chine;81555;3312;76246;4.06;93.49;2.45;中国;35.000074;104.999927
01/04/2020;Colombie;906;16;31;1.77;3.42;94.81;Colombia;2.8894434;-73.783892
01/04/2020;Costa Rica;347;2;4;0.58;1.15;98.27;Costa Rica;10.2735633;-84.0739102
01/04/2020;Cuba;186;6;8;3.23;4.3;92.47;Cuba;23.0131338;-80.8328748
01/04/2020;Cap-vert;6;1;0;16.67;0.0;83.33;Cabo Verde;16.0000552;-24.0083947
01/04/2020;Chypre;262;8;23;3.05;8.78;88.17;Κύπρος - Kıbrıs;34.9823018;33.1451285
01/04/2020;République Tchèque;3330;32;45;0.96;1.35;97.69;Česko;49.8167003;15.4749544
01/04/2020;Allemagne;73217;802;16100;1.1;21.99;76.92;Deutschland;51.0834196;10.4234469
01/04/2020;Djibouti;30;0;0;0.0;0.0;100.0;Djibouti جيبوتي;11.8145966;42.8453061
01/04/2020;Danemark;3102;104;3;3.35;0.1;96.55;Danmark;55.670249;10.3333283
01/04/2020;Dominique;12;0;0;0.0;0.0;100.0;Dominica;15.4113138;-61.3653618
01/04/2020;République Dominicaine;1109;51;5;4.6;0.45;94.95;República Dominicana;19.0974031;-70.3028026
01/04/2020;Algérie;716;44;46;6.15;6.42;87.43;الجزائر;28.0000272;2.9999825
01/04/2020;Équateur;2302;79;58;3.43;2.52;94.05;Ecuador;-1.3397668;-79.3666965
01/04/2020;Estonie;779;5;33;0.64;4.24;95.12;Eesti;58.7523778;25.3319078
01/04/2020;Égypte;710;46;157;6.48;22.11;71.41;مصر;26.2540493;29.2675469
01/04/2020;Érythrée;15;0;0;0.0;0.0;100.0;ኤርትራ Eritrea إرتريا;15.9500319;37.9999668
01/04/2020;Espagne;102136;9053;22647;8.86;22.17;68.96;España;39.3262345;-4.8380649
01/04/2020;Éthiopie;29;0;2;0.0;6.9;93.1;ኢትዮጵያ;10.2116702;38.6521203
01/04/2020;Finlande;1446;17;10;1.18;0.69;98.13;Suomi;63.2467777;25.9209164
01/04/2020;Fidji;5;0;0;0.0;0.0;100.0;Viti;-18.1239696;179.0122737
01/04/2020;Îles Féroé;173;0;75;0.0;43.35;56.65;Føroyar;62.0448724;-7.0322972
01/04/2020;France;52128;3523;9444;6.76;18.12;75.12;France;46.603354;1.8883335
01/04/2020;Gabon;18;1;0;5.56;0.0;94.44;Gabon;-0.8999695;11.6899699
01/04/2020;Royaume-Uni;29772;2356;145;7.91;0.49;91.6;United Kingdom;54.7023545;-3.2765753
01/04/2020;Grenade;9;0;0;0.0;0.0;100.0;Grenada;12.1360374;-61.6904045
01/04/2020;Géorgie;115;0;23;0.0;20.0;80.0;საქართველო;41.6809707;44.0287382
01/04/2020;Guyane Française;51;0;15;0.0;29.41;70.59;Guyane, France;4.0039882;-52.999998
01/04/2020;Ghana;195;5;31;2.56;15.9;81.54;Ghana;8.0300284;-1.0800271
